,search term,sentiment,tweet
28,rishi sunak,40.0,"In the first election test of Rishi Sunak as prime minister, a major victory for the opposition party https//t.co/zHED7acBt9  #WorldNews, #news, #LatestNews, #Trending, #TrendingNow, #TrendingNews, #trendingtopic, #NewsUpdates, #NewsAlert, #latest_news, #today, #todaynews, #da…"
29,rishi sunak,-86.0,"Rishi Sunak calls UK nurses strike threat 'very regrettable', urges unions to call off agitation for Christmas. Watch video  https//t.co/5L1IqjFaaQ"
30,rishi sunak,-36.0,Britain will be hammered by a wave of strikes every day in the run-up to Christmas in a new ‘Winter of Discontent’. Rishi…
31,rishi sunak,0.0,Ex-minister Sajid Javid to stand down as MP at next election https//t.co/iecXpeGf93
32,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
33,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
34,rishi sunak,-51.0,"PM Rishi Sunak has ""failed"" first electoral test - says Labour's deputy leader Angela Rayner - as Labour hold Chester in b…"
35,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
36,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
37,rishi sunak,-40.0,Stuart Robert is in big trouble. Side note for fans of modern conservative politics the company getting the Centrelink contr…
38,rishi sunak,40.0,"New poll shows Reform UK support doubling in a week to 9%, now only 13 points behind the Tories and level with the LibDems…"
39,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
40,rishi sunak,87.0,Huge congratulations to  who will be an excellent MP for City of Chester.  The message to Rishi Sunak’s Conser…
41,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
42,rishi sunak,-49.0,Do you Approve or Disapprove of Rishi Sunak making some protests illegal?  Please retweet for a larger sample s…
43,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
44,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
45,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
46,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
47,rishi sunak,-49.0,Do you Approve or Disapprove of Rishi Sunak making some protests illegal?  Please retweet for a larger sample s…
48,rishi sunak,40.0,"Tories no longer seen as the party of Brexit, low tax or free speech https//t.co/PirQlxB9Fc"
49,rishi sunak,23.0,"""You can't have people who are worth millions telling us what to do.""   ""It must be so galling to be governed by people…"
50,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
51,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
52,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
53,rishi sunak,-27.0,TotalEnergies has become the first major North Sea operator to cut investment as a direct result of Rishi Sunak's windfa…
54,rishi sunak,27.0,Working with rishi sunak for 2 years to oust Boris Johnson didn't work out too well did it Sajid?
55,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
56,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
57,rishi sunak,-27.0,TotalEnergies has become the first major North Sea operator to cut investment as a direct result of Rishi Sunak's windfa…
58,rishi sunak,-29.0,Tory MPs in those 'red wall' seats in the north of England will be even more despondent about their prospects at the next gene…
59,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
60,rishi sunak,40.0,"Tories no longer seen as the party of Brexit, low tax or free speech https//t.co/PirQlxB9Fc"
61,rishi sunak,23.0,Don’t presume to speak for me Rishi Sunak. These people have a right to protest which should be protected. The public are fed up of you and the people who make millions from fossil fuels.
62,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
63,rishi sunak,44.0,"So Rishi Sunak deems it ‘unreasonable’ for nurses to receive a pay rise, while Winchester College enjoys tax breaks wo…"
64,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
65,rishi sunak,-49.0,Rishi Sunak's Garden Sculpture Worth 1.3 Million GBP Sparks Row Amid UK Financial Crisis https//t.co/VTCTTUqDwZ You'r…
66,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
67,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
68,rishi sunak,53.0,"Even if President Xi Jinping relaxes his controlling zero-Covid policy, PM  and Western leaders must label the Chinese Communist Party the threat that it is for the sake of global freedom, argues , .  https//t.co/P0caAYKLcE"
69,rishi sunak,-88.0,Analysis via our  Crushing defeat for Sunak is an ominous sign for despondent red wall MPs  https//t.co/MWVmZ3iaCP
70,rishi sunak,-6.0,Suspect Rishi Sunak will peddle line that they don't suspend because doing so identifies MP &amp; that can identify the victi…
71,rishi sunak,-59.0,"Some of us warned of this if they installed Rishi.. it’s the Conservatives own fault, they do not listen to those on the groun…"
72,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
73,rishi sunak,-40.0,"EXC Rishi Sunak saves himself £12,700 by refusing to scrap tax breaks for private schools https//t.co/Q3S9dRZD3j"
74,rishi sunak,36.0,"Was a guest on 's Rundown podcast this week - talked housing, private schools, Tory unity and what it's like being an MP... https//t.co/eQZzUAoYC0"
75,rishi sunak,23.0,"""You can't have people who are worth millions telling us what to do.""   ""It must be so galling to be governed by people…"
76,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
77,rishi sunak,-30.0,"Of course Rishi Sunak has come down on the side of the BLM activist who snared Lady Hussey, and no he hasn't been briefed,…"
78,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
79,rishi sunak,-64.0,"Tories are facing election oblivion. A socialist budget attacking hard working families, defence cuts, housing crisis,…"
80,rishi sunak,42.0,President  spoke by phone with Prime Minister Rishi Sunak of the United Kingdom. https//t.co/4Hdq1SISWs
81,rishi sunak,0.0,". was right to sound the warning.  And as I write here, it's time  restored the post of a dedicated…"
82,rishi sunak,84.0,"Britain's opposition Labour Party has handily won a special election for a northwest England seat in Parliament, the first test of…"
83,rishi sunak,-40.0,"EXC Rishi Sunak saves himself £12,700 by refusing to scrap tax breaks for private schools https//t.co/Q3S9dRZD3j"
84,rishi sunak,-46.0,The result marks a defeat for Rishi Sunak in his first electoral test since becoming prime minister. https//t.co/UkHTHtDLfq
85,rishi sunak,-48.0,#suellabravermanout #ToryCriminalsUnfitToGovern #GeneralElectionNow #ToriesOut148  Rishi Sunak wrong to ‘wipe the slat…
86,rishi sunak,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
87,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
88,rishi sunak,-67.0,UK to do a Sri Lanka on illegal protests.  British Prime Minister Rishi Sunak has announced plans to use force against…
89,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
90,rishi sunak,76.0,"In Rishi Sunak's 1st Electoral Test As PM, A Big Win For Opposition Party Read More https//t.co/kZ9fNZanpv #newstime10 #NT10 #news #LiveNews #BREAKING #RishiSunak #pm #Electoral https//t.co/ugxSlvx5Hw"
91,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
92,rishi sunak,-60.0,Women will 'die waiting' for Rishi Sunak to act on state #pension age changes.    has urged the PM to a…
93,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
94,rishi sunak,8.0,"on #QT talking about nurses payrise .if you give Nurses exactly what they want (an opening bid of course) the cost, app…"
95,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
96,rishi sunak,-46.0,The Tories are cooperating with Brussels to give us Brexit in Name Only. We say stop stalling and scrap the Irish Sea b…
97,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
98,rishi sunak,40.0,"Tories no longer seen as the party of Brexit, low tax or free speech https//t.co/uWo8TL5xAo"
99,rishi sunak,-49.0,Do you Approve or Disapprove of Rishi Sunak making some protests illegal?  Please retweet for a larger sample s…
100,rishi sunak,-84.0,The British government appears to have broken its own ministerial code by failing to declare any conflicts of interest…
101,rishi sunak,-30.0,"Of course Rishi Sunak has come down on the side of the BLM activist who snared Lady Hussey, and no he hasn't been briefed,…"
102,rishi sunak,-27.0,TotalEnergies has become the first major North Sea operator to cut investment as a direct result of Rishi Sunak's windfa…
103,rishi sunak,49.0,🔴 Exclusive Poll Public Sees Conservatives as Self-Servatives  Voters believe Rishi Sunak's party is now mostly intereste…
104,rishi sunak,0.0,"Rishi Sunak said at PMQs on Wednesday that Labour represents ""the politics of yesterday"".  New Polling by  finds t…"
105,rishi sunak,23.0,"""You can't have people who are worth millions telling us what to do.""   ""It must be so galling to be governed by people…"
106,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
107,rishi sunak,87.0,Huge congratulations to  who will be an excellent MP for City of Chester.  The message to Rishi Sunak’s Conser…
108,rishi sunak,44.0,"So Rishi Sunak deems it ‘unreasonable’ for nurses to receive a pay rise, while Winchester College enjoys tax breaks wo…"
109,rishi sunak,40.0,BREAKING NEWS  announces all gas boilers will be replaced by Conservative Party pledges which run on 100% ho…
110,rishi sunak,-84.0,The British government appears to have broken its own ministerial code by failing to declare any conflicts of interest…
111,rishi sunak,-49.0,Do you Approve or Disapprove of Rishi Sunak making some protests illegal?  Please retweet for a larger sample s…
112,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
113,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
114,rishi sunak,0.0,Labour hold City of Chester seat in Rishi Sunak's first electoral test https//t.co/UcTepaHtt6
115,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
116,rishi sunak,38.0,"Not content with the Non Dom status being preserved..... Wonder who that benefits, aswell?  https//t.co/UaVoZQQmNX"
117,rishi sunak,-67.0,UK to do a Sri Lanka on illegal protests.  British Prime Minister Rishi Sunak has announced plans to use force against…
118,rishi sunak,-40.0,They know they’re done and they’re planning their escapes. After all the damage they’ve done.  Sajid Javid becomes thirtee…
119,rishi sunak,-62.0,Absolute thrashing for the Conservatives in the Chester by-election overnight - their worst result there since 1832.  Lab…
120,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
121,rishi sunak,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
122,rishi sunak,-46.0,"Awful poll numbers for the Conservative Govt, which has shifted significantly away from the Right under  Hard…"
123,rishi sunak,-51.0,"Chester by-election is a crushing defeat for Rishi Sunak  This is what the figures show, with Tory vote share at 22%…"
124,rishi sunak,44.0,"Rishi Sunak, who sends both his daughters to private schools, benefits from a tax break that means parents do not pay V…"
125,rishi sunak,-84.0,The British government appears to have broken its own ministerial code by failing to declare any conflicts of interest…
126,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
127,rishi sunak,59.0,"This comes from the Express, of all newspapers ... Labour landslide win in Chester by-election https//t.co/6hxwbu0ZAo"
128,rishi sunak,-62.0,Absolute thrashing for the Conservatives in the Chester by-election overnight - their worst result there since 1832.  Lab…
129,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
130,rishi sunak,44.0,Friday 2nd December is #ToriesOut148  Boris Johnson is seeking re-election 😂🤡  Dominic Raab demands 1hr gym time every work…
131,rishi sunak,0.0,Brexit has added more than £200 to household food bills &amp; is contributing to record price inflation according to shock…
132,rishi sunak,84.0,"Britain's opposition Labour Party has handily won a special election for a northwest England seat in Parliament, the first test of…"
133,rishi sunak,87.0,Huge congratulations to  who will be an excellent MP for City of Chester.  The message to Rishi Sunak’s Conser…
134,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
135,rishi sunak,-67.0,UK to do a Sri Lanka on illegal protests.  British Prime Minister Rishi Sunak has announced plans to use force against…
136,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
137,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
138,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
139,rishi sunak,0.0,India...BJP...Gujarat...UK...US...China...Pakistan...New...Delhi...NATO...Russia...Ukraine...Royal Mail...Christmas...CWU...Dave Ward...Simon Thompson...Oliver Dowden...Rishi Sunak...England
140,rishi sunak,44.0,"So Rishi Sunak deems it ‘unreasonable’ for nurses to receive a pay rise, while Winchester College enjoys tax breaks wo…"
141,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
142,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
143,rishi sunak,-27.0,TotalEnergies has become the first major North Sea operator to cut investment as a direct result of Rishi Sunak's windfa…
144,rishi sunak,0.0,"11,000 more votes than Tory… Chester by-election results Labour retains seat in blow to Rishi Sunak https//t.co/hE9YQ…"
145,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
146,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
147,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
148,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
149,rishi sunak,0.0,"Britain's new 800-millionaire PM Rishi Sunak boasted of meeting with police chiefs and telling them ""They have my full…"
150,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
151,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
152,rishi sunak,-59.0,"Some of us warned of this if they installed Rishi.. it’s the Conservatives own fault, they do not listen to those on the groun…"
153,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
154,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
155,rishi sunak,23.0,"""You can't have people who are worth millions telling us what to do.""   ""It must be so galling to be governed by people…"
156,rishi sunak,-40.0,They know they’re done and they’re planning their escapes. After all the damage they’ve done.  Sajid Javid becomes thirtee…
157,rishi sunak,-46.0,The Tories are cooperating with Brussels to give us Brexit in Name Only. We say stop stalling and scrap the Irish Sea b…
158,rishi sunak,84.0,"Britain's opposition Labour Party has handily won a special election for a northwest England seat in Parliament, the first test of…"
159,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
160,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
161,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
162,rishi sunak,-15.0,"Whilst Rishi Sunak &amp; his Chancellor stick their heads in the sand, UK media want us to forget Boris Johnson sold his B…"
163,rishi sunak,0.0,We all know where they’re headed here Rishi Sunak pledged that police will have whatever powers required to crack down on…
164,rishi sunak,-31.0,Has anyone called on Rishi Sunak to correct the record or does the Ministerial code no longer matter?
165,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
166,rishi sunak,0.0,Rishi Sunak frames it as hardworking families versus workers on picket lines.  Who does he think is on those picket lin…
167,rishi sunak,40.0,BREAKING NEWS  announces all gas boilers will be replaced by Conservative Party pledges which run on 100% ho…
168,rishi sunak,0.0,Brexit has added more than £200 to household food bills &amp; is contributing to record price inflation according to shock…
169,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
170,rishi sunak,49.0,"Rishi Sunak once said he hadn't a single working-class friend, and he’s not likely to make any soon.  While he sits on…"
171,rishi sunak,-33.0,Today’s #PMQs was an absolute SHOCKER with Prime Minister Rishi Sunak even repeating debunked Boris Johnson Brexit lie…
172,rishi sunak,44.0,"Rishi Sunak, who sends both his daughters to private schools, benefits from a tax break that means parents do not pay V…"
173,rishi sunak,66.0,Hallelujah ! -  this country desperately needs saving from the Tory and Labour parties. https//t.co/tpyIJO2KEM
174,rishi sunak,23.0,"""You can't have people who are worth millions telling us what to do.""   ""It must be so galling to be governed by people…"
175,rishi sunak,23.0,"""You can't have people who are worth millions telling us what to do.""   ""It must be so galling to be governed by people…"
176,rishi sunak,27.0,"Well done Rishi Sunak, you absurd little man.  Another one.  Who knows, maybe this was the net zero plan all along..? https/…"
177,rishi sunak,0.0,"Britain's new 800-millionaire PM Rishi Sunak boasted of meeting with police chiefs and telling them ""They have my full…"
178,rishi sunak,-6.0,Suspect Rishi Sunak will peddle line that they don't suspend because doing so identifies MP &amp; that can identify the victi…
179,rishi sunak,84.0,"Britain's opposition Labour Party has handily won a special election for a northwest England seat in Parliament, the first test of voter sentiment since Conservative Prime Minister Rishi Sunak took office in October.  https//t.co/MgcofIqFJt"
180,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
181,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
182,rishi sunak,-33.0,Today’s #PMQs was an absolute SHOCKER with Prime Minister Rishi Sunak even repeating debunked Boris Johnson Brexit lie…
183,rishi sunak,-49.0,Do you Approve or Disapprove of Rishi Sunak making some protests illegal?  Please retweet for a larger sample s…
184,rishi sunak,-6.0,Suspect Rishi Sunak will peddle line that they don't suspend because doing so identifies MP &amp; that can identify the victi…
185,rishi sunak,59.0,"But … it appears people feel he’s lost his edge as the best man to lead the country, as he dropped seven points against Sir Ke…"
186,rishi sunak,-33.0,Today’s #PMQs was an absolute SHOCKER with Prime Minister Rishi Sunak even repeating debunked Boris Johnson Brexit lie…
187,rishi sunak,56.0,"""You can't have people who are worth millions telling us what to do.""   ""It must be so galling to be governed by people who haven't got a clue how the every man live.""   went to one of the safest Tory seats in Britain to find out what they think of Rishi Sunak. https//t.co/iH6cwAAKxL"
188,rishi sunak,0.0,"Britain's new 800-millionaire PM Rishi Sunak boasted of meeting with police chiefs and telling them ""They have my full…"
189,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
190,rishi sunak,-32.0,Lol…Rishi Sunak seems to think that tax payers fund Royal Mail workers pay rises…he seems to have forgotten that fact tha…
191,rishi sunak,-30.0,"Of course Rishi Sunak has come down on the side of the BLM activist who snared Lady Hussey, and no he hasn't been briefed,…"
192,rishi sunak,46.0,Do you need the conservative party to be polling at 10% before you realise Rishi Sunak is not the PM the country wants?!.…
193,rishi sunak,87.0,Huge congratulations to  who will be an excellent MP for City of Chester.  The message to Rishi Sunak’s Conser…
194,rishi sunak,44.0,"Rishi Sunak, who sends both his daughters to private schools, benefits from a tax break that means parents do not pay V…"
195,rishi sunak,42.0,President  spoke by phone with Prime Minister Rishi Sunak of the United Kingdom. https//t.co/4Hdq1SISWs
196,rishi sunak,66.0,"Average support for the Reform party is now up to 6% this week, across all pollsters vs 3.8% on eve of Rishi Sunak's appoint…"
197,rishi sunak,59.0,"But … it appears people feel he’s lost his edge as the best man to lead the country, as he dropped seven points against Sir Ke…"
198,rishi sunak,-6.0,Suspect Rishi Sunak will peddle line that they don't suspend because doing so identifies MP &amp; that can identify the victi…
199,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
200,rishi sunak,-90.0,"After the Conservatives suffered their worst defeat since 1832 in Chester’s by-election, it’s clear Britain is sick of be…"
201,rishi sunak,-48.0,#suellabravermanout #ToryCriminalsUnfitToGovern #GeneralElectionNow #ToriesOut148  Rishi Sunak wrong to ‘wipe the slat…
202,rishi sunak,44.0,"Rishi Sunak, who sends both his daughters to private schools, benefits from a tax break that means parents do not pay V…"
203,rishi sunak,-49.0,Rishi Sunak's Garden Sculpture Worth 1.3 Million GBP Sparks Row Amid UK Financial Crisis https//t.co/VTCTTUqDwZ You'r…
204,rishi sunak,44.0,"Rishi Sunak, who sends both his daughters to private schools, benefits from a tax break that means parents do not pay V…"
205,rishi sunak,-6.0,Suspect Rishi Sunak will peddle line that they don't suspend because doing so identifies MP &amp; that can identify the victi…
206,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
207,rishi sunak,-89.0,"Rishi Sunak can blame Covid for the NHS crisis, he can blame the war in Ukraine for the rise in energy prices, and he can…"
208,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
209,rishi sunak,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
210,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
211,rishi sunak,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
212,rishi sunak,-84.0,The British government appears to have broken its own ministerial code by failing to declare any conflicts of interest…
213,rishi sunak,0.0,Rishi Sunak took days to reappoint Braverman. He said he will appoint Ministerial Ethics Advisor - that was over 6 weeks ag…
214,rishi sunak,-49.0,Do you Approve or Disapprove of Rishi Sunak making some protests illegal?  Please retweet for a larger sample s…
215,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
216,rishi sunak,44.0,"Turkish President Recep Tayyip Erdogan holds phone talk with UK Prime Minister Rishi Sunak, discussing steps to improve Türki…"
217,rishi sunak,-53.0,POLL Do you think our human rights are under threat under Rishi Sunak's government?  *poll requested by a follower.  Pleas…
218,rishi sunak,0.0,"Britain's new 800-millionaire PM Rishi Sunak boasted of meeting with police chiefs and telling them ""They have my full…"
219,rishi sunak,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
220,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
221,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
222,rishi sunak,-67.0,UK to do a Sri Lanka on illegal protests.  British Prime Minister Rishi Sunak has announced plans to use force against…
223,rishi sunak,-40.0,"EXC Rishi Sunak saves himself £12,700 by refusing to scrap tax breaks for private schools https//t.co/Q3S9dRZD3j"
224,rishi sunak,40.0,"Tories no longer seen as the party of Brexit, low tax or free speech https//t.co/PirQlxB9Fc"
225,rishi sunak,0.0,Rishi Sunak seems to have put an end to many of his fellow Conservative workmates (&amp; other Tory MPs) 👀
226,rishi sunak,-31.0,Has anyone called on Rishi Sunak to correct the record or does the Ministerial code no longer matter?
227,rishi sunak,-33.0,Today’s #PMQs was an absolute SHOCKER with Prime Minister Rishi Sunak even repeating debunked Boris Johnson Brexit lie…
228,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
