,search term,tweet_id,sentiment,tweet
42,rishi sunak,1597649247960444928,67.0,UK plans to increase support for Ukraine and provide air defense systems. Source British Prime Minister Rishi Sunak
43,rishi sunak,1597649217493032960,-53.0,Rishi Sunak is unelected as he no power to do so. declares 'golden era' with China over as critics take aim https//t.co/Yxz9sUi8hx
44,rishi sunak,1597649206633562112,32.0,"It speaks volumes that Rishi Sunak's Cabinet Office, responsible for setting an example to the rest, has the largest gend…"
45,rishi sunak,1597649195954864129,-69.0,"The public now believes that the UK was wrong to leave the EU – but the Conservatives and Labour are ignoring them, write…"
46,rishi sunak,1597649185079439361,-35.0,Rishi Sunak vows to stand up to China but he can't stand up to diptheria ridden migrants in rubber dinghies.  Not sure h…
47,rishi sunak,1597649182135050240,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
48,rishi sunak,1597649176434802690,-62.0,"Amid financial crisis, UK govt spends GBP 1.3 million on sculpture for Rishi Sunak's garden https//t.co/2y6K5XMTa0"
49,rishi sunak,1597649170453921792,-49.0,Outgoing Met police assistant commissioner says Braverman's language on immigration 'horrific' - https//t.co/MfIjZvzKy0
50,rishi sunak,1597649157531267073,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
51,rishi sunak,1597649148849049600,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
52,rishi sunak,1597649142284967936,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
53,rishi sunak,1597649142108786688,-23.0,Rishi Sunak is reported to have said about the Chinese protests that the Chinese leadership should listen to the protesters…
54,rishi sunak,1597649135976710145,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
55,rishi sunak,1597649132222500864,0.0,"NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https//t.co/8tCbWQfdIc"
56,rishi sunak,1597649131564339200,0.0,NOW DO YOU BELIEVE  All the tories have ever wanted to do with OUR NHS is sell it.  Rishi Sunak has appointed a private heal…
57,rishi sunak,1597649126895677440,-89.0,(1) SNP MP faces inquiry for exposing how Nadine Dorries avoided punishment for misleading MPs – UK politics live. No sanct…
58,rishi sunak,1597649118322888704,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
59,rishi sunak,1597649100908171264,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
60,rishi sunak,1597649099695616000,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
61,rishi sunak,1597649088463380482,65.0,"The Social Media Choir of the Cult of Starmer is in the studio right now recording, ""Sir Keir's Playing A #Brexit Long Game!""  They hope it will be their Christmas Number One from this year until 2029.  #BBCPM   https//t.co/WhXxeIA05x"
62,rishi sunak,1597649071115993090,42.0,Rishi Sunak is already battling his party on five fronts is anyone actually surprised?! In the past 6 month he TWICE fai…
63,rishi sunak,1597649053004623872,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
64,rishi sunak,1597649043983065088,-62.0,"Amid financial crisis, UK govt spends GBP 1.3 million on sculpture for Rishi Sunak's garden https//t.co/2y6K5XMTa0"
65,rishi sunak,1597649041076080641,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
66,rishi sunak,1597649031018475521,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
67,rishi sunak,1597649014845222912,13.0,"Britain PM Rishi Sunak  Let’s be clear, the so-called ‘golden era’ [with China] is over, along with the naive idea that trad…"
68,rishi sunak,1597649002706583552,-32.0,JUST IN #BNNChina Reports.  China’s foreign ministry refutes British Prime Minister Rishi Sunak's () accusations a…
69,rishi sunak,1597648991533305856,42.0,I will not give my vote to the Rishi Sunak regime. Will you? No            No           No 👇            👇            👇
70,rishi sunak,1597648989859778560,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
71,rishi sunak,1597648976597192704,-23.0,Rishi Sunak is reported to have said about the Chinese protests that the Chinese leadership should listen to the protesters…
72,rishi sunak,1597648968493989888,42.0,I will not give my vote to the Rishi Sunak regime. Will you? No            No           No 👇            👇            👇
73,rishi sunak,1597648965939658752,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
74,rishi sunak,1597648926840131584,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
75,rishi sunak,1597648905382293505,67.0,The 🇬🇧UK intends to increase support for Ukraine and provide air defense systems in 2023. British Prime Minister Rishi…
76,rishi sunak,1597648854874492929,-44.0,Here’s me in 2018 saying ‘Our Future Our Choice’ was an AstroTurf organisation whose aim was to wreck Labour’s polling le…
77,rishi sunak,1597648845466636288,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
78,rishi sunak,1597648837715582976,67.0,World Today | 7th edition of Global Technology Summit kicks off  Top Headlines 🔸 China Relative calm after 4 days Of Pro…
79,rishi sunak,1597648823090057216,-23.0,"Over 40% of British products previously exported to the EU have disappeared from European shelves since Brexit “bleak""…"
80,rishi sunak,1597648792156704769,32.0,"It speaks volumes that Rishi Sunak's Cabinet Office, responsible for setting an example to the rest, has the largest gend…"
81,rishi sunak,1597648791964090368,-38.0,"""Jocelynne Scutt has already delivered the report to Rishi Sunak at Downing Street. She argues that 50s women were treat…"
82,rishi sunak,1597648787539136512,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
83,rishi sunak,1597648772347330562,-32.0,JUST IN #BNNChina Reports.  China’s foreign ministry refutes British Prime Minister Rishi Sunak's () accusations a…
84,rishi sunak,1597648769923035137,42.0,United Kingdom’s Golden Era with China is over British PM Rishi Sunak  More details https//t.co/5iBN3piC8D https//t.co/1X660H7Gil
85,rishi sunak,1597648757885374465,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
86,rishi sunak,1597648757826682880,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
87,rishi sunak,1597648745746800640,18.0,Tory mayor Andy Street “Seeking better trade terms with the EU is no different to what we are trying to do with countr…
88,rishi sunak,1597648698896683009,-78.0,"As I say here, Rishi Sunak should be ashamed that so much taxpayers’ money ended up in the hands of criminals and gangs du…"
89,rishi sunak,1597648686103814145,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
90,rishi sunak,1597648682618609664,-67.0,Rishi Sunak says £80 BILLION of revenue from North Sea in Scotland over 5 years will pay for his cost of living crisis a…
91,rishi sunak,1597648671856013315,0.0,"NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https//t.co/8tCbWQfdIc"
92,rishi sunak,1597648660732342272,0.0,"NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https//t.co/8tCbWQfdIc"
93,rishi sunak,1597648653115871233,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
94,rishi sunak,1597648635189432321,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
95,rishi sunak,1597648606135484417,-10.0,Rishi Sunak’s cabinet office has largest gender pay gap of all government departments https//t.co/CO6l6dCnsv
96,rishi sunak,1597648601324609536,-78.0,"""I'm terribly sorry Tarquin, but because that beastly Jeremy Hunt and that frightful Rishi Sunak are removing…"
97,rishi sunak,1597648582089506816,-78.0,"As I say here, Rishi Sunak should be ashamed that so much taxpayers’ money ended up in the hands of criminals and gangs du…"
98,rishi sunak,1597648554025455617,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
99,rishi sunak,1597648553811521537,-62.0,"Amid financial crisis, UK govt spends GBP 1.3 million on sculpture for Rishi Sunak's garden https//t.co/2y6K5XMTa0"
100,rishi sunak,1597648548736077824,-69.0,"The public now believes that the UK was wrong to leave the EU – but the Conservatives and Labour are ignoring them, write…"
101,rishi sunak,1597648540473298944,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
102,rishi sunak,1597648540423311360,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
103,rishi sunak,1597648531032268800,-23.0,"Over 40% of British products previously exported to the EU have disappeared from European shelves since Brexit “bleak""…"
104,rishi sunak,1597648529996279808,-35.0,Rishi Sunak vows to stand up to China but he can't stand up to diptheria ridden migrants in rubber dinghies.  Not sure h…
105,rishi sunak,1597648524665311232,-32.0,JUST IN #BNNChina Reports.  China’s foreign ministry refutes British Prime Minister Rishi Sunak's () accusations a…
106,rishi sunak,1597648489613492225,32.0,So Rishi Sunak’s position is UK workers must pay higher taxes to help fill a £30bn black hole blown in the countries f…
107,rishi sunak,1597648470680416257,-86.0,News SNP MP faces inquiry for exposing how Nadine Dorries avoided punishment for misleading MPs – UK politics live https//t.co/jY2rgxBJK0 https//t.co/pEPh3GNq9F
108,rishi sunak,1597648451407257600,0.0,"How much longer can Rishi Sunak &amp; his Chancellor close their eyes, stick their fingers in their ears &amp; go la la la?"
109,rishi sunak,1597648450820403201,-10.0,England and Wales fans have spoken of nerves and tested relationships as they geared up for the “Battle of Britain” #FIFAWorldCup c…
110,rishi sunak,1597648426640224256,0.0,"NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https//t.co/8tCbWQfdIc"
111,rishi sunak,1597648426526683136,0.0,"UK PM 's first major foreign policy speech The ""golden era"" of UK-China relations is over. ""China poses a systemic…"
112,rishi sunak,1597648423934492672,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
113,rishi sunak,1597648413280989191,-44.0,"""The prime minister referred to China as a challenge. That is mistaken. China is a threat.""  Rishi Sunak is wrong on China, ex-US national security advisor John Bolton tells #TimesRadio, and says China aims to gain ""control of worldwide communications""   https//t.co/4qgwjKg32E"
114,rishi sunak,1597648385695444992,34.0,Rishi Sunak said that our golden era of trade with China is now over.  In which case why are we still giving China foreign…
115,rishi sunak,1597648361993433088,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
116,rishi sunak,1597648313737969665,-34.0,Jacob Rees-Mogg issues stark warning to Tories over next election https//t.co/RjI8wcUql8
117,rishi sunak,1597648306578296833,0.0,"NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https//t.co/8tCbWQfdIc"
118,rishi sunak,1597648302412922881,0.0,Which sort of Brexit deal do YOU think Rishi Sunak should pursue? A Full Brexit Says Bob! Bonfire Of All EU Rules!http…
119,rishi sunak,1597648297422094336,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
120,rishi sunak,1597648295870238720,42.0,I will not give my vote to the Rishi Sunak regime. Will you? No            No           No 👇            👇            👇
121,rishi sunak,1597648230522982400,27.0,Sunak warns against ‘cold war’ with China despite brutal crackdowns https//t.co/BiltucN9zR   Sunak has the nerve to accuse China of sinking into Athoritanism when his own Gov is doing exactly the same here in the UK.
122,rishi sunak,1597648218715742209,-94.0,"SNP MP faces inquiry for exposing how Nadine Dorries avoided punishment for misleading MPs – UK politics live | Politics | The Guardian. Investigated as he made the Speaker look bad, when the decision not to refer ND to PC makes him look much worse imo  https//t.co/eZ37U3i9yP"
123,rishi sunak,1597648217545773056,-23.0,Rishi Sunak is reported to have said about the Chinese protests that the Chinese leadership should listen to the protesters…
124,rishi sunak,1597648215628726273,0.0,"🇬🇧🇨🇳British Prime Minister Rishi Sunak declares the ""golden era"" for relationship between the UK and China is over. http…"
125,rishi sunak,1597648215176011776,-69.0,"The public now believes that the UK was wrong to leave the EU – but the Conservatives and Labour are ignoring them, write…"
126,rishi sunak,1597648201267712000,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
127,rishi sunak,1597648191142629376,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
128,rishi sunak,1597648170234032128,-23.0,"Onshore wind is the cheapest, cleanest energy. The Tories' ban has kept bills high and damaged our energy security. …"
129,rishi sunak,1597648162063544320,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
130,rishi sunak,1597648161367293953,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
131,rishi sunak,1597648150193311744,-19.0,We cannot afford for nurses to take a real terms pay cut but can afford to give billions of our money away to others https//t.co/fyPubpVDFg
132,rishi sunak,1597648144619433986,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
133,rishi sunak,1597648121361678337,-23.0,Rishi Sunak is reported to have said about the Chinese protests that the Chinese leadership should listen to the protesters…
134,rishi sunak,1597648110670733312,25.0,Rishi Sunak claims to care about the #NHS  2 questions.   👉Why doesn’t he use it?  👉Why has he appointed a No 10 adviser…
135,rishi sunak,1597648109047140352,-71.0,"With one look at Boris Johnson’s rigged rules followed by a glance around this Cabinet table, no wonder they’ve refused h…"
136,rishi sunak,1597648108808245249,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
137,rishi sunak,1597648097509003268,0.0,"On Friday, it was announced Mayor Khan’s ULEZ expansion was going ahead.   Andrew Rosindell M.P. has written to the Prime Mi…"
138,rishi sunak,1597648084091441152,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
139,rishi sunak,1597648061039542272,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
140,rishi sunak,1597648050184679424,-78.0,"As I say here, Rishi Sunak should be ashamed that so much taxpayers’ money ended up in the hands of criminals and gangs du…"
141,rishi sunak,1597648047366111232,-56.0,"Oh dear, what a shame, poor Sunak 🐍  https//t.co/pslZkZWqpk"
142,rishi sunak,1597648042983067648,67.0,The 🇬🇧UK intends to increase support for Ukraine and provide air defense systems in 2023. British Prime Minister Rishi…
143,rishi sunak,1597648031796822017,34.0,Rishi Sunak said that our golden era of trade with China is now over.  In which case why are we still giving China foreign…
144,rishi sunak,1597648030328532993,42.0,I will not give my vote to the Rishi Sunak regime. Will you? No            No           No 👇            👇            👇
145,rishi sunak,1597648021638221824,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
146,rishi sunak,1597648015530958848,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
147,rishi sunak,1597647994371067904,-71.0,"With one look at Boris Johnson’s rigged rules followed by a glance around this Cabinet table, no wonder they’ve refused h…"
148,rishi sunak,1597647984136978432,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
149,rishi sunak,1597647977337978883,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
150,rishi sunak,1597647971847659520,-44.0,Here’s me in 2018 saying ‘Our Future Our Choice’ was an AstroTurf organisation whose aim was to wreck Labour’s polling le…
151,rishi sunak,1597647931112292355,-10.0,"England and Wales fans have spoken of nerves and tested relationships as they geared up for the “Battle of Britain” #FIFAWorldCup crunch match #ENGWAL  ✍️ ,  and   https//t.co/H3Bt6gzxd6"
152,rishi sunak,1597647930214653952,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
153,rishi sunak,1597647924179369984,-34.0,Jacob Rees-Mogg issues stark warning to Tories over next election https//t.co/RjI8wcUql8
154,rishi sunak,1597647920018640896,71.0,"Anybody notice how #Trumpee and -like the UK  Party has become..... Whatever the  does today, the UK   will adopt tomorrow...   https//t.co/B1dFWYIFv0"
155,rishi sunak,1597647914943533056,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
156,rishi sunak,1597647889249230849,-23.0,Rishi Sunak news – live David Miliband hints at Commons return demanding EU ‘cooperation’ https//t.co/9EAIYRqn30 https…
157,rishi sunak,1597647874107772928,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
158,rishi sunak,1597647830684176385,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
159,rishi sunak,1597647779102621697,-10.0,"If you give every worker in the NHS (excluding doctors &amp; dentists) a 17.6% pay rise, it would cost £9bn/year.  Rishi Su…"
160,rishi sunak,1597647761284902912,-23.0,Rishi Sunak is reported to have said about the Chinese protests that the Chinese leadership should listen to the protesters…
161,rishi sunak,1597647759682961408,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
162,rishi sunak,1597647746701594624,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
163,rishi sunak,1597647741068664832,34.0,Rishi Sunak said that our golden era of trade with China is now over.  In which case why are we still giving China foreign…
164,rishi sunak,1597647736694005760,-17.0,"This says the Government Art Collection purchased it, so we did pay for it https//t.co/L6OqxW…"
165,rishi sunak,1597647705270267906,0.0,There never was a ‘golden era’ between the UK and China.  All it has ever been is the Tories selling out our country — as…
166,rishi sunak,1597647687146696705,8.0,"British Prime Minister Rishi Sunak declares the ""golden era"" for relationship between the UK and China is over.He recognise China posing ""systematic challenge"" https//t.co/OJthOt2eUm"
167,rishi sunak,1597647658604077057,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
168,rishi sunak,1597647651847417856,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
169,rishi sunak,1597647651289583616,-71.0,"With one look at Boris Johnson’s rigged rules followed by a glance around this Cabinet table, no wonder they’ve refused h…"
170,rishi sunak,1597647640472133632,-49.0,Outgoing Met police assistant commissioner says Braverman's language on immigration 'horrific' - https//t.co/MfIjZvzKy0
171,rishi sunak,1597647632624943104,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
172,rishi sunak,1597647630544216064,0.0,Rishi Sunak’s first major speech on foreign policy is as thin as gruel. All it shows is that once again the Conservative go…
173,rishi sunak,1597647623938531328,66.0,So the party can tax the U.K. taxpayer at the highest level since 1948 yet Sunak giving away billions to other countries https//t.co/NqK6hlr7Mf
174,rishi sunak,1597647621023092736,-71.0,"With one look at Boris Johnson’s rigged rules followed by a glance around this Cabinet table, no wonder they’ve refused h…"
175,rishi sunak,1597647618481745920,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
176,rishi sunak,1597647616187461637,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
177,rishi sunak,1597647594926534656,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
178,rishi sunak,1597647553109323778,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
179,rishi sunak,1597647501846540288,0.0,"UK PM Rishi Sunak lists ""delivering a new FTA with India"" as a key focus during his first major foreign policy speech"
180,rishi sunak,1597647495320207360,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
181,rishi sunak,1597647492791009280,-35.0,Rishi Sunak vows to stand up to China but he can't stand up to diptheria ridden migrants in rubber dinghies.  Not sure h…
182,rishi sunak,1597647458762301445,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
183,rishi sunak,1597647447186059265,-32.0,JUST IN #BNNChina Reports.  China’s foreign ministry refutes British Prime Minister Rishi Sunak's () accusations a…
184,rishi sunak,1597647426713972736,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
185,rishi sunak,1597647420531171328,34.0,"💥NEW Former US National Security adviser   slams Rishi Sunak's stance on China, he tells  'the…"
186,rishi sunak,1597647396493987841,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
187,rishi sunak,1597647394082295809,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
188,rishi sunak,1597647380543082496,0.0,It almost feels at the moment that Rishi Sunak was installed to undertake a handover to Keir Starmer at the next election.…
189,rishi sunak,1597647379204751360,-78.0,"""I'm terribly sorry Tarquin, but because that beastly Jeremy Hunt and that frightful Rishi Sunak are removing…"
190,rishi sunak,1597647371483348992,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
191,rishi sunak,1597647359118565377,0.0,"Rishi Sunak has said the ""golden era"" between the UK and China is over as he called for a new approach to the Chinese government. https//t.co/H5B7TO7mmf"
