,gender,locality,ethnicity,religion,q1,q2b,q4,q2,q3,q8,q9,resp_id
73,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Hockey stick;,,To buy something for somebody else;,73
74,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Sky diving;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;,None of them;,To check prices;,74
75,Female,Suburban,White European,None,Lifting weights,,No,,Basketball;Hockey stick;Surfboard;,Mid-afternoon snacking;Dinner;,To buy something for myself;,75
76,Male,CBD (central business district),White European,,Yoga,,Yes,,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;,76
77,Male,Urban,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Hockey stick;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,77
78,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Football;Hockey stick;Parachute;,Mid-afternoon snacking;,Other;,78
79,Female,Rural,White European,Sikh,Aerobics,Irregularly,Yes,Base jumping;Mountain biking;Kite boarding;,Basketball;Football;Hockey stick;Parachute;,Mid-afternoon snacking;Dinner;,Not applicable - I won't ever go to a sporting goods store;,79
80,Female,Urban,White European,Baptist,Aerobics,Never,No,Other;,Hockey stick;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,80
81,Male,Urban,White European,,Lifting weights,Irregularly,Yes,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,81
82,Female,Urban,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,82
83,Female,Suburban,White European,Church of England/Anglican/Episcopal,Football (soccer),Irregularly,No,,Basketball;Football;Hockey stick;,Lunch;,Not applicable - I won't ever go to a sporting goods store;,83
84,Male,CBD (central business district),White European,,Lifting weights,Regularly,Yes,,Basketball;Football;Hockey stick;,Dinner;,To buy something for myself;,84
85,Male,CBD (central business district),White European,None,Pilates,Irregularly,No,,Basketball;Hockey stick;,,To buy something for myself;To buy something for somebody else;,85
86,Female,Rural,White European,,Aerobics,Irregularly,No,Other;,Hockey stick;,Dinner;,Not applicable - I won't ever go to a sporting goods store;,86
87,Female,Remote,White European,,Lifting weights,Irregularly,No,,Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;Dinner;,To buy something for myself;,87
88,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Regularly,Yes,Sky diving;Base jumping;Mountain biking;Kite boarding;,Basketball;Football;,,To buy something for myself;To check prices;,88
89,Male,Urban,White European,,Swimming,,No,,Basketball;Football;,,Don't know;,89
90,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Football (soccer),Irregularly,Yes,,Basketball;Football;Hockey stick;,Mid-afternoon snacking;,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,90
91,Female,CBD (central business district),White European,None,Running/jogging,Irregularly,No,,Basketball;Football;Hockey stick;,Dinner;,To buy something for myself;To ask the staff for sporting advice;To check prices;,91
92,Male,CBD (central business district),White European,None,Aerobics,,Yes,Base jumping;Mountain biking;,Basketball;Football;Hockey stick;Parachute;,Breakfast;None of them;,Not applicable - I won't ever go to a sporting goods store;,92
93,Female,CBD (central business district),White European,Methodist,Aerobics,Never,No,Sky diving;Base jumping;Kite boarding;Parachuting;,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,93
94,Male,Urban,White European,Roman Catholic,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;Surfboard;,Breakfast;Lunch;Dinner;,Not applicable - I won't ever go to a sporting goods store;,94
95,Male,Remote,White European,None,Running/jogging,,No,,Basketball;Hockey stick;,,To buy something for myself;To check prices;,95
96,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;,Basketball;Football;Hockey stick;Parachute;,Lunch;Mid-afternoon snacking;Dinner;,Not applicable - I won't ever go to a sporting goods store;,96
97,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Running/jogging,Never,No,,9Parachute;,,To buy something for myself;To buy something for somebody else;,97
98,Male,CBD (central business district),White European,Presbyterian/Church of Scotland,Aerobics,Irregularly,Yes,Other;,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,98
99,Female,CBD (central business district),White European,,Lifting weights,Irregularly,No,,Football;Hockey stick;,Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,99
100,Female,Remote,White European,None,Aerobics,Irregularly,Yes,Mountain biking;Parachuting;,Hockey stick;,Breakfast;Mid-morning snacking;Lunch;Mid-afternoon snacking;Dinner;,Don't know;,100
101,Male,CBD (central business district),White European,,Aerobics,Irregularly,Yes,Base jumping;Kite boarding;,Basketball;Football;Hockey stick;,,Other;,101
102,Male,CBD (central business district),White European,None,Aerobics,Irregularly,No,Mountain biking;,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,102
103,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Running/jogging,Irregularly,No,,Basketball;Football;Hockey stick;,,Don't know;,103
104,Male,CBD (central business district),White European,None,Aerobics,Irregularly,Yes,Mountain biking;Parachuting;,Basketball;Football;Hockey stick;,,Don't know;,104
105,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;Parachute;,Mid-afternoon snacking;Dinner;,To buy something for myself;,105
106,Male,Suburban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Sky diving;,Basketball;Football;Hockey stick;,Dinner;,To ask the staff for sporting advice;,106
107,Male,CBD (central business district),White European,,Lifting weights,Regularly,Yes,,Hockey stick;Parachute;,Breakfast;Lunch;Mid-afternoon snacking;,To buy something for myself;,107
108,Male,CBD (central business district),White European,Methodist,Lifting weights,Irregularly,Yes,,Basketball;Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;None of them;,Not applicable - I won't ever go to a sporting goods store;,108
109,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Regularly,No,,Football;Hockey stick;,,To buy something for myself;,109
110,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,Yes,,Hockey stick;,Lunch;Mid-afternoon snacking;,To buy something for myself;To check prices;,110
111,Female,Rural,White European,Church of England/Anglican/Episcopal,Lifting weights,Never,No,,Football;,,Don't know;,111
112,Male,Suburban,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,Dinner;,Not applicable - I won't ever go to a sporting goods store;,112
113,Female,Urban,White European,,Lifting weights,,No,,Football;Hockey stick;Parachute;,,To buy something for myself;,113
114,Male,Urban,White European,,Pilates,Never,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,114
115,Male,CBD (central business district),White European,Presbyterian/Church of Scotland,Aerobics,Irregularly,No,Base jumping;Mountain biking;Kite boarding;Snowboarding;Parachuting;,Basketball;Football;Hockey stick;Surfboard;Swimming goggles;,,Not applicable - I won't ever go to a sporting goods store;,115
116,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Swimming,Irregularly,No,,Basketball;Football;,,To buy something for myself;To ask the staff for sporting advice;To check prices;,116
117,Male,Urban,White European,,Not applicable - I don't exercise,,Yes,,Basketball;Hockey stick;,Breakfast;Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,117
118,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Sky diving;,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,118
119,Female,CBD (central business district),,,Aerobics,Irregularly,No,Base jumping;,Hockey stick;,,To buy something for myself;To check prices;,119
120,Male,CBD (central business district),White European,,Lifting weights,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,120
121,Male,CBD (central business district),White European,None,Lifting weights,Irregularly,No,,Hockey stick;,Dinner;,To buy something for myself;To buy something for somebody else;To check prices;,121
122,Male,CBD (central business district),White European,None,Basketball,Irregularly,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,122
123,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,Yes,,Basketball;Football;Parachute;,None of them;,Don't know;,123
124,Male,CBD (central business district),White European,None,Aerobics,Irregularly,Yes,Base jumping;Mountain biking;Snowboarding;,Basketball;Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,124
125,Female,Rural,White European,Roman Catholic,Not applicable - I don't exercise,Irregularly,No,,Basketball;Hockey stick;,Breakfast;Mid-afternoon snacking;Dinner;,Don't know;,125
126,Male,CBD (central business district),Any other white background,None,Aerobics,Irregularly,No,Sky diving;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;Parachute;,,Don't know;,126
127,Female,Urban,Bangladeshi,,Aerobics,Irregularly,No,Other;,Basketball;Football;,,To buy something for somebody else;To check prices;,127
128,Female,CBD (central business district),White European,Methodist,Football (soccer),,No,,Basketball;Football;Hockey stick;,,To buy something for myself;,128
129,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Base jumping;Snowboarding;,Basketball;Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,129
130,Female,Urban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,130
131,Male,Remote,White European,Roman Catholic,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,131
132,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Football;Hockey stick;,Breakfast;Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,132
133,Male,Remote,White European,Prefer not to say,Not applicable - I don't exercise,,No,,9Parachute;,,Not applicable - I won't ever go to a sporting goods store;,133
134,Female,Urban,White and Asian,,Lifting weights,Irregularly,No,,Football;Hockey stick;,,To buy something for somebody else;To check prices;,134
135,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Pilates,Irregularly,No,,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,135
136,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Never,No,,Basketball;Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,136
137,Male,Urban,White European,Church of England/Anglican/Episcopal,Running/jogging,Irregularly,No,,Basketball;Football;Hockey stick;,,Don't know;,137
138,Male,CBD (central business district),White European,Roman Catholic,Swimming,Irregularly,Yes,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,138
139,Male,,White European,None,Pilates,Irregularly,Yes,,Basketball;Hockey stick;,None of them;,Not applicable - I won't ever go to a sporting goods store;,139
140,Male,Urban,White European,,Aerobics,Regularly,No,Kite boarding;,Basketball;Hockey stick;Parachute;,None of them;,Not applicable - I won't ever go to a sporting goods store;,140
141,Male,CBD (central business district),White European,,Aerobics,Never,Yes,Mountain biking;,Basketball;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,141
142,Female,Remote,White European,Other,Basketball,Irregularly,Yes,,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;,142
143,Female,CBD (central business district),White European,Roman Catholic,Lifting weights,Regularly,No,,Basketball;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,143
144,Male,Urban,White European,None,Lifting weights,Irregularly,Yes,,Football;Hockey stick;,Lunch;,To buy something for myself;To check prices;,144
145,Male,,White European,,Football (soccer),Irregularly,No,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,145
146,Male,Remote,White European,None,Aerobics,Irregularly,No,Sky diving;Base jumping;Kite boarding;Parachuting;,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,146
147,Male,CBD (central business district),White European,None,Swimming,Irregularly,No,,Football;Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;Dinner;,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,147
148,Male,Urban,White European,Church of England/Anglican/Episcopal,Lifting weights,,No,,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,148
149,Male,Remote,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Other;,Basketball;Football;Hockey stick;,Dinner;,To buy something for myself;To buy something for somebody else;To check prices;Other;,149
150,Female,Rural,White European,None,Lifting weights,Never,No,,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,150
151,Female,Rural,White European,Church of England/Anglican/Episcopal,Aerobics,Regularly,No,Sky diving;Mountain biking;,Basketball;Hockey stick;Parachute;,,To buy something for myself;To check prices;,151
152,Male,,White European,Church of England/Anglican/Episcopal,Aerobics,Regularly,Yes,Base jumping;Kite boarding;,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,152
153,Male,CBD (central business district),White European,,Swimming,Irregularly,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,153
154,Female,Suburban,White European,None,Aerobics,,No,Base jumping;,Football;,,Not applicable - I won't ever go to a sporting goods store;,154
155,Male,,White European,Church of England/Anglican/Episcopal,Running/jogging,Irregularly,No,,Football;Hockey stick;,None of them;,Not applicable - I won't ever go to a sporting goods store;,155
156,Male,Urban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Sky diving;Base jumping;Mountain biking;Kite boarding;,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;,156
157,Female,Suburban,White European,,Aerobics,,No,Mountain biking;,Basketball;Football;Hockey stick;,,To buy something for myself;,157
158,Male,Suburban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Mountain biking;,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,158
159,Male,Rural,White European,Methodist,Aerobics,Irregularly,No,Other;,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,159
160,Female,CBD (central business district),White European,Other,Pilates,Regularly,Yes,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,160
161,Female,CBD (central business district),White European,None,Lifting weights,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,161
162,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Regularly,No,,Hockey stick;,,To buy something for myself;To ask the staff for sporting advice;To check prices;,162
163,Female,Rural,White European,Other,Pilates,Irregularly,No,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,163
164,Female,CBD (central business district),White European,Presbyterian/Church of Scotland,Aerobics,Irregularly,No,Mountain biking;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,164
165,Female,CBD (central business district),White European,,Pilates,Never,No,,Football;Hockey stick;,Dinner;,Don't know;,165
166,Male,Rural,Prefer not to say,None,Not applicable - I don't exercise,,No,,9Parachute;,,Not applicable - I won't ever go to a sporting goods store;,166
167,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Base jumping;Mountain biking;Kite boarding;,Basketball;Football;,,Other;,167
168,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,168
169,Male,Urban,White European,None,Aerobics,Irregularly,No,Base jumping;Mountain biking;Kite boarding;Snowboarding;Parachuting;,Basketball;Football;Hockey stick;Surfboard;Parachute;,Mid-afternoon snacking;Dinner;,Don't know;,169
170,Female,CBD (central business district),White European,,Aerobics,Irregularly,No,None of these;,Football;,,Don't know;,170
171,Female,CBD (central business district),White European,,Pilates,Irregularly,Yes,,Basketball;Hockey stick;,,To buy something for myself;,171
172,Male,Remote,White European,None,Football (soccer),Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,172
173,Male,CBD (central business district),White European,Presbyterian/Church of Scotland,Aerobics,Irregularly,No,Base jumping;Mountain biking;,Basketball;Football;Hockey stick;,Mid-afternoon snacking;Dinner;,To buy something for myself;To check prices;,173
